Ref,Val,Package,PosX,PosY,Rot,Side
"C2","1uF","YAG_CC0603_YAG",149.500000,-127.276100,90.000000,top
"C3","1uF","YAG_CC0603_YAG",155.000000,-123.776100,180.000000,top
"J1","~","RJ45_Amphenol_54602-x08_Horizontal",95.900000,-80.270000,-90.000000,top
"J2","~","RJ45_Amphenol_54602-x08_Horizontal",208.650000,-88.947500,90.000000,top
"J3","~","RJ45_Amphenol_54602-x08_Horizontal",95.900000,-101.893700,-90.000000,top
"J4","~","RJ45_Amphenol_54602-x08_Horizontal",208.650000,-110.838700,90.000000,top
"J5","~","RJ45_Amphenol_54602-x08_Horizontal",95.900000,-123.517500,-90.000000,top
"J6","~","RJ45_Amphenol_54602-x08_Horizontal",208.650000,-132.730000,90.000000,top
"J7","~","RJ45_Amphenol_54602-x08_Horizontal",156.770000,-78.100000,180.000000,top
"J8","Conn_01x05_Socket","CON_436500500_MOL",158.339600,-135.380000,0.000000,top
"LED8","XZCM2CRK53WA-8VF","LED_SMD_XZCM_1P6X0P8_SLD",144.746100,-87.400000,180.000000,top
"LED9","XZCM2CRK53WA-8VF","LED_SMD_XZCM_1P6X0P8_SLD",160.285800,-87.400000,0.000000,top
"LED10","XZCM2CRK53WA-8VF","LED_SMD_XZCM_1P6X0P8_SLD",160.253900,-92.400000,0.000000,top
"LED11","XZCM2CRK53WA-8VF","LED_SMD_XZCM_1P6X0P8_SLD",144.714200,-92.400000,180.000000,top
"LED12","XZCM2CRK53WA-8VF","LED_SMD_XZCM_1P6X0P8_SLD",144.746100,-97.400000,180.000000,top
"LED13","XZCM2CRK53WA-8VF","LED_SMD_XZCM_1P6X0P8_SLD",160.285800,-97.400000,0.000000,top
"LED14","XZCM2CRK53WA-8VF","LED_SMD_XZCM_1P6X0P8_SLD",152.485800,-119.000000,0.000000,top
"R1","RC0603FR-0710KL","RC0603N_YAG",152.526800,-131.274700,-90.000000,top
"R2","RC0603FR-0710KL","RC0603N_YAG",155.500000,-131.250000,-90.000000,top
"R3","RC0603FR-0710KL","RC0603N_YAG",149.500000,-131.274700,-90.000000,top
"R9","RC0603FR-07750RL","RC0603N_YAG",149.624100,-87.500000,180.000000,top
"R13","RC0603FR-07470RL","RC0603N_YAG",128.642000,-117.490000,180.000000,top
"R14","RC0603FR-07470RL","RC0603N_YAG",115.302400,-85.000000,180.000000,top
"R15","RC0603FR-07470RL","RC0603N_YAG",133.054400,-85.000000,180.000000,top
"R16","RC0603FR-07470RL","RC0603N_YAG",110.867300,-74.200000,180.000000,top
"R17","RC0603FR-07470RL","RC0603N_YAG",106.799900,-85.000000,180.000000,top
"R18","RC0603FR-07470RL","RC0603N_YAG",124.174700,-85.000000,180.000000,top
"R19","RC0603FR-07470RL","RC0603N_YAG",102.130200,-74.200000,180.000000,top
"R20","RC0603FR-07470RL","RC0603N_YAG",119.872000,-74.200000,180.000000,top
"R21","RC0603FR-07470RL","RC0603N_YAG",128.642000,-74.200000,180.000000,top
"R22","RC0603FR-07470RL","RC0603N_YAG",115.302400,-107.000000,180.000000,top
"R23","RC0603FR-07470RL","RC0603N_YAG",133.054400,-107.000000,180.000000,top
"R24","RC0603FR-07470RL","RC0603N_YAG",110.867300,-96.200000,180.000000,top
"R25","RC0603FR-07470RL","RC0603N_YAG",106.799900,-107.000000,180.000000,top
"R26","RC0603FR-07470RL","RC0603N_YAG",124.174700,-107.000000,180.000000,top
"R27","RC0603FR-07470RL","RC0603N_YAG",102.130200,-96.200000,180.000000,top
"R28","RC0603FR-07470RL","RC0603N_YAG",119.872000,-96.200000,180.000000,top
"R29","RC0603FR-07470RL","RC0603N_YAG",128.642000,-96.200000,180.000000,top
"R30","RC0603FR-07470RL","RC0603N_YAG",115.302400,-128.730000,180.000000,top
"R31","RC0603FR-07470RL","RC0603N_YAG",132.700000,-128.700000,180.000000,top
"R32","RC0603FR-07470RL","RC0603N_YAG",110.867300,-117.490000,180.000000,top
"R33","RC0603FR-07470RL","RC0603N_YAG",106.799900,-128.730000,180.000000,top
"R34","RC0603FR-07470RL","RC0603N_YAG",124.174700,-128.730000,180.000000,top
"R35","RC0603FR-07470RL","RC0603N_YAG",102.130200,-117.490000,180.000000,top
"R36","RC0603FR-07470RL","RC0603N_YAG",119.872000,-117.490000,180.000000,top
"R37","RC0603FR-07470RL","RC0603N_YAG",189.025300,-84.543800,0.000000,top
"R38","RC0603FR-07470RL","RC0603N_YAG",172.025300,-84.543800,0.000000,top
"R39","RC0603FR-07470RL","RC0603N_YAG",192.974700,-95.343800,0.000000,top
"R40","RC0603FR-07470RL","RC0603N_YAG",175.425300,-95.343800,0.000000,top
"R41","RC0603FR-07470RL","RC0603N_YAG",197.574700,-84.543800,0.000000,top
"R42","RC0603FR-07470RL","RC0603N_YAG",180.574700,-84.543800,0.000000,top
"R43","RC0603FR-07470RL","RC0603N_YAG",201.974700,-95.343800,0.000000,top
"R44","RC0603FR-07470RL","RC0603N_YAG",184.025300,-95.343800,0.000000,top
"R45","RC0603FR-07470RL","RC0603N_YAG",188.574700,-106.591300,0.000000,top
"R46","RC0603FR-07470RL","RC0603N_YAG",171.725300,-106.591300,0.000000,top
"R47","RC0603FR-07470RL","RC0603N_YAG",193.225300,-117.200000,0.000000,top
"R48","RC0603FR-07470RL","RC0603N_YAG",175.625300,-117.200000,0.000000,top
"R49","RC0603FR-07470RL","RC0603N_YAG",197.174700,-106.591300,0.000000,top
"R50","RC0603FR-07470RL","RC0603N_YAG",179.974700,-106.591300,0.000000,top
"R51","RC0603FR-07470RL","RC0603N_YAG",202.025300,-117.200000,0.000000,top
"R52","RC0603FR-07470RL","RC0603N_YAG",184.425300,-117.200000,0.000000,top
"R53","RC0603FR-07470RL","RC0603N_YAG",188.825300,-127.800000,0.000000,top
"R54","RC0603FR-07470RL","RC0603N_YAG",171.225300,-127.800000,0.000000,top
"R55","RC0603FR-07470RL","RC0603N_YAG",193.225300,-139.000000,0.000000,top
"R56","RC0603FR-07470RL","RC0603N_YAG",175.425300,-139.000000,0.000000,top
"R57","RC0603FR-07470RL","RC0603N_YAG",197.574700,-127.800000,0.000000,top
"R58","RC0603FR-07470RL","RC0603N_YAG",180.025300,-127.800000,0.000000,top
"R59","RC0603FR-07470RL","RC0603N_YAG",202.025300,-139.000000,0.000000,top
"R60","RC0603FR-07470RL","RC0603N_YAG",184.374700,-139.000000,0.000000,top
"R61","RC0603FR-07750RL","RC0603N_YAG",155.424100,-87.500000,0.000000,top
"R62","RC0603FR-07750RL","RC0603N_YAG",149.574700,-92.500000,180.000000,top
"R63","RC0603FR-07750RL","RC0603N_YAG",155.374700,-92.500000,0.000000,top
"R64","RC0603FR-07750RL","RC0603N_YAG",149.574700,-97.500000,180.000000,top
"R65","RC0603FR-07750RL","RC0603N_YAG",155.374700,-97.500000,0.000000,top
"R66","RC0603FR-07750RL","RC0603N_YAG",149.500000,-123.774700,90.000000,top
"RY4","~","C226S_COT",134.197400,-89.937800,90.000000,top
"RY5","~","C226S_COT",107.942900,-89.937800,90.000000,top
"RY6","~","C226S_COT",112.110500,-79.098000,90.000000,top
"RY7","~","C226S_COT",103.273200,-79.098000,90.000000,top
"RY8","~","C226S_COT",116.694400,-89.937800,90.000000,top
"RY9","~","C226S_COT",125.445900,-89.937800,90.000000,top
"RY10","~","C226S_COT",120.947700,-79.098000,90.000000,top
"RY11","~","C226S_COT",129.785000,-79.098000,90.000000,top
"RY12","~","C226S_COT",134.197400,-111.968000,90.000000,top
"RY13","~","C226S_COT",107.942900,-111.968000,90.000000,top
"RY14","~","C226S_COT",112.110500,-101.166000,90.000000,top
"RY15","~","C226S_COT",103.273200,-101.166000,90.000000,top
"RY16","~","C226S_COT",116.694400,-111.968000,90.000000,top
"RY17","~","C226S_COT",125.445900,-111.968000,90.000000,top
"RY18","~","C226S_COT",120.947700,-101.166000,90.000000,top
"RY19","~","C226S_COT",129.785000,-101.166000,90.000000,top
"RY20","~","C226S_COT",133.368300,-133.698000,90.000000,top
"RY21","~","C226S_COT",107.942900,-133.698000,90.000000,top
"RY22","~","C226S_COT",112.110500,-122.355800,90.000000,top
"RY23","~","C226S_COT",103.273200,-122.355800,90.000000,top
"RY24","~","C226S_COT",116.694400,-133.698000,90.000000,top
"RY25","~","C226S_COT",125.445900,-133.698000,90.000000,top
"RY26","~","C226S_COT",120.947700,-122.355800,90.000000,top
"RY27","~","C226S_COT",129.785000,-122.355800,90.000000,top
"RY28","~","C226S_COT",170.800000,-79.511800,-90.000000,top
"RY29","~","C226S_COT",196.400000,-79.511800,-90.000000,top
"RY30","~","C226S_COT",191.993600,-90.311800,-90.000000,top
"RY31","~","C226S_COT",200.843400,-90.311800,-90.000000,top
"RY32","~","C226S_COT",187.866700,-79.511800,-90.000000,top
"RY33","~","C226S_COT",179.333300,-79.511800,-90.000000,top
"RY34","~","C226S_COT",183.143800,-90.311800,-90.000000,top
"RY35","~","C226S_COT",174.294000,-90.311800,-90.000000,top
"RY36","~","C226S_COT",170.770000,-101.591300,-90.000000,top
"RY37","~","C226S_COT",196.119400,-101.591300,-90.000000,top
"RY38","~","C226S_COT",192.113600,-112.345800,-90.000000,top
"RY39","~","C226S_COT",200.873400,-112.345800,-90.000000,top
"RY40","~","C226S_COT",187.436300,-101.591300,-90.000000,top
"RY41","~","C226S_COT",178.753100,-101.591300,-90.000000,top
"RY42","~","C226S_COT",183.353800,-112.345800,-90.000000,top
"RY43","~","C226S_COT",174.594000,-112.345800,-90.000000,top
"RY44","~","C226S_COT",170.300000,-122.887900,-90.000000,top
"RY45","~","C226S_COT",196.579400,-122.887900,-90.000000,top
"RY46","~","C226S_COT",192.175400,-134.085300,-90.000000,top
"RY47","~","C226S_COT",201.025200,-134.085300,-90.000000,top
"RY48","~","C226S_COT",187.819600,-122.887900,-90.000000,top
"RY49","~","C226S_COT",179.059800,-122.887900,-90.000000,top
"RY50","~","C226S_COT",183.325600,-134.085300,-90.000000,top
"RY51","~","C226S_COT",174.475800,-134.085300,-90.000000,top
"U1","~","D16-M",159.025800,-108.805000,0.000000,top
"U3","~","D16-M",145.825800,-108.805000,0.000000,top
"U4","~","SOT-23-5_MC_MCH-M",153.846200,-127.226100,0.000000,top
